# z/angstrom E/(kJ/mol)
 -60.000 -5.870e-03
 -50.000 -5.815e-03
 -40.000 -4.548e-03
 -35.000 -7.935e-04
 -30.000 1.724e-02
 -25.000 1.132e-01
 -20.000 7.262e-01
 -15.000 2.013e+00
 -10.000 2.665e+00
  -5.000 2.857e+00
   0.000 2.901e+00
   5.000 2.869e+00
  10.000 2.712e+00
  15.000 2.168e+00
  20.000 9.344e-01
  25.000 1.521e-01
  30.000 2.509e-02
  35.000 3.770e-04
  40.000 -4.416e-03
  50.000 -5.782e-03
